comparison,pair,Cell type category,other Cell type category,symbol,delta,lambda,gene error mean,rank,level
23,mast_cell natural_killer,mast_cell,natural_killer,MS4A2,-7090.585752801107,10.061264457429473,0.08497818809916996,9,2
20,mast_cell dendritic,mast_cell,dendritic,MS4A2,-7083.698966950167,10.061264457429473,0.08497818809916996,8,2
21,mast_cell granulocyte,mast_cell,granulocyte,MS4A2,-7026.64578149096,10.061264457429473,0.08497818809916996,9,2
6,b_cell t_cell,b_cell,t_cell,MS4A1,-7000.982772287354,10.111696706721654,0.08097043584028853,1,2
8,dendritic granulocyte,dendritic,granulocyte,HLA-DRA,-6862.306175156659,11.028870189680786,0.08079394273101798,2,2
20,mast_cell dendritic,mast_cell,dendritic,SERPINB1,-6733.972208189592,10.712462857765088,0.1546660401172952,9,2
7,dendritic b_cell,dendritic,b_cell,PSAP,-6399.903992414978,11.197230264161806,0.19055752309026186,1,2
22,mast_cell mono_derived,mast_cell,mono_derived,MS4A2,-6368.1583579347825,10.061264457429473,0.08497818809916996,8,2
32,natural_killer dendritic,natural_killer,dendritic,"H3F3A,p1",-6263.042949236782,9.800495249932524,0.09811960257677121,4,2
32,natural_killer dendritic,natural_killer,dendritic,LOC100507217,-6242.5748238070855,9.507641974950078,0.06107900484712007,5,2
22,mast_cell mono_derived,mast_cell,mono_derived,FCER1A,-6160.20554289053,10.188112293597417,0.08548453847578703,9,2
34,natural_killer mast_cell,natural_killer,mast_cell,HLA-E,-5701.722842407997,10.318800987337465,0.062393570530794855,4,2
32,natural_killer dendritic,natural_killer,dendritic,ENST00000555909,-5594.019690588329,9.179476032432643,0.06627175888895682,6,2
29,mono_derived natural_killer,mono_derived,natural_killer,CTSS,-5432.442767502454,10.349391380782272,0.03115616353990432,1,2
38,t_cell dendritic,t_cell,dendritic,"ENST00000392730,p1",-5100.129674864188,10.645008565478447,0.04732903611107888,1,2
12,dendritic t_cell,dendritic,t_cell,CD74,-4992.129157247964,12.019587702253595,0.1322224102537011,2,2
8,dendritic granulocyte,dendritic,granulocyte,CU692482,-4877.062104583878,9.551362674550937,0.05318446263870458,3,2
33,natural_killer granulocyte,natural_killer,granulocyte,RPS6,-4783.688876438212,9.590891427491899,0.05350872122131128,2,2
15,granulocyte mast_cell,granulocyte,mast_cell,S100A9,-4766.611600632942,11.85915889726086,0.29471763593774575,2,2
25,mono_derived b_cell,mono_derived,b_cell,CTSS,-4737.691059224742,10.349391380782272,0.03115616353990432,2,2
12,dendritic t_cell,dendritic,t_cell,HLA-DRA,-4439.65988140592,11.028870189680786,0.08079394273101798,3,2
29,mono_derived natural_killer,mono_derived,natural_killer,PSAP,-4113.0087665111205,11.45925080621188,0.11299797230643559,2,2
15,granulocyte mast_cell,granulocyte,mast_cell,NCF2,-4106.074624798215,9.946588606501148,0.14560522636258158,3,2
18,granulocyte t_cell,granulocyte,t_cell,ALOX5,-4083.663169597008,9.159994978002246,0.1089811149247842,1,2
7,dendritic b_cell,dendritic,b_cell,CTSL1,-4035.4810274553784,8.742648202932099,0.08117722470644262,2,2
8,dendritic granulocyte,dendritic,granulocyte,CTSL1,-4010.859764091684,8.742648202932099,0.08117722470644262,4,2
11,dendritic natural_killer,dendritic,natural_killer,CTSL1,-4000.0184537074333,8.742648202932099,0.08117722470644262,1,2
11,dendritic natural_killer,dendritic,natural_killer,CU692482,-3906.7442627259425,9.551362674550937,0.05318446263870458,2,2
12,dendritic t_cell,dendritic,t_cell,CTSL1,-3829.7985656842293,8.742648202932099,0.08117722470644262,4,2
14,granulocyte dendritic,granulocyte,dendritic,S100A9,-3756.496623318764,11.85915889726086,0.29471763593774575,1,2
18,granulocyte t_cell,granulocyte,t_cell,NCF2,-3643.2494529237597,9.946588606501148,0.14560522636258158,2,2
12,dendritic t_cell,dendritic,t_cell,CU692482,-3502.2700885259883,9.551362674550937,0.05318446263870458,5,2
34,natural_killer mast_cell,natural_killer,mast_cell,ENST00000555909,-3498.1994340645874,9.179476032432643,0.06627175888895682,5,2
13,granulocyte b_cell,granulocyte,b_cell,S100A9,-3496.5251236963013,11.85915889726086,0.29471763593774575,2,2
14,granulocyte dendritic,granulocyte,dendritic,C10orf54,-3494.3672033538555,9.881338836888096,0.20122892046014781,2,2
9,dendritic mast_cell,dendritic,mast_cell,CTSL1,-3488.4234647048374,8.742648202932099,0.08117722470644262,3,2
28,mono_derived mast_cell,mono_derived,mast_cell,LYZ,-3393.549193787974,11.978179027874233,0.20771740106852676,3,2
31,natural_killer b_cell,natural_killer,b_cell,ITGB2,-3390.220929639211,9.627111459249484,0.06705696956861337,2,2
32,natural_killer dendritic,natural_killer,dendritic,AK056941,-3350.774703889003,9.463880627994161,0.15290060244967366,7,2
13,granulocyte b_cell,granulocyte,b_cell,NCF2,-3229.8922246342518,9.946588606501148,0.14560522636258158,3,2
3,b_cell mast_cell,b_cell,mast_cell,HLA-DRA,-3196.4466720032433,10.978518715831761,0.3696446122171949,3,2
2,b_cell granulocyte,b_cell,granulocyte,RPS6,-3157.3122673359667,9.965244791229036,0.09047580406880963,2,2
35,natural_killer mono_derived,natural_killer,mono_derived,ETS1,-3042.5902972406357,9.136858794849257,0.12644740851354938,2,2
34,natural_killer mast_cell,natural_killer,mast_cell,CD247,-3031.212813044563,9.00374896843423,0.05792812737584076,6,2
32,natural_killer dendritic,natural_killer,dendritic,CD247,-2986.77424770775,9.00374896843423,0.05792812737584076,8,2
40,t_cell mast_cell,t_cell,mast_cell,SPOCK2,-2968.3019827737216,9.1962054018453,0.09873533897013423,1,2
32,natural_killer dendritic,natural_killer,dendritic,FLJ43663,-2966.0479943778623,8.633512101676637,0.0862270026755958,9,2
25,mono_derived b_cell,mono_derived,b_cell,ITGB2,-2950.1109744046807,9.895498374693165,0.04572915238614071,3,2
38,t_cell dendritic,t_cell,dendritic,ITK,-2937.9281818296254,8.833362461643372,0.04243555443578941,2,2
31,natural_killer b_cell,natural_killer,b_cell,CD247,-2915.4430681223675,9.00374896843423,0.05792812737584076,3,2
41,t_cell mono_derived,t_cell,mono_derived,ETS1,-2910.919485965107,9.48096590080032,0.10931943765219787,1,2
37,t_cell b_cell,t_cell,b_cell,ITK,-2892.604674249209,8.833362461643372,0.04243555443578941,1,2
9,dendritic mast_cell,dendritic,mast_cell,CTSZ,-2892.354506039826,10.06407889314422,0.29928790230625135,4,2
34,natural_killer mast_cell,natural_killer,mast_cell,ETS1,-2867.190351846912,9.136858794849257,0.12644740851354938,7,2
